document_id,main_category,sub_category
07394,hep-ex,
08485,cs,NE
03620,physics,ins-det
10210,math,NA
04416,cs,CR
07354,cond-mat,mtrl-sci
06611,cs,MM
04526,nucl-th,
03618,cs,SI
03931,cs,IT
04938,astro-ph,HE
05727,hep-ph,
01168,astro-ph,HE
06925,quant-ph,
06950,math,NA
09775,physics,app-ph
03881,math,NT
02461,astro-ph,EP
09755,cond-mat,soft
08665,hep-th,
05000,eess,SP
08682,cs,MS
05386,hep-ex,
03582,hep-ph,
04552,cs,IT
00376,physics,app-ph
03896,stat,ME
08713,math,OC
00628,math,DG
01973,stat,ML
07815,math,PR
01629,math,AP
04448,cond-mat,mes-hall
05451,math,FA
01516,cs,NI
03338,quant-ph,
04908,cs,FL
01535,stat,AP
05662,cond-mat,soft
08828,math,AP
09495,physics,plasm-ph
06542,cs,IT
00582,math,NT
04250,math,CO
00366,math,SP
00644,stat,ME
05957,physics,plasm-ph
08487,cond-mat,stat-mech
01585,physics,atom-ph
04335,cs,DC
03472,math,DG
09158,quant-ph,
02873,math,NT
05776,physics,comp-ph
06999,math,PR
09283,math,AT
01690,cond-mat,supr-con
08463,cond-mat,mtrl-sci
05136,physics,med-ph
02628,cond-mat,stat-mech
00691,math,NA
03794,cs,IT
07243,cs,AI
00226,math,LO
05010,cond-mat,mes-hall
02994,econ,EM
01005,astro-ph,GA
04011,cs,CV
01163,physics,ins-det
03968,cs,AI
06281,math,DG
04798,cond-mat,mes-hall
00422,math,NT
05048,math,ST
10493,math,AP
09398,math,RT
02756,gr-qc,
03725,astro-ph,GA
08130,astro-ph,SR
04793,math,AP
06624,cs,IT
04976,math,AT
01411,physics,gen-ph
03477,nucl-ex,
01425,cond-mat,str-el
08013,cond-mat,mtrl-sci
01196,quant-ph,
00220,cond-mat,supr-con
03525,eess,SP
07571,eess,SP
01235,cs,CV
06268,cs,SE
03501,astro-ph,GA
03175,cs,AI
05553,math,PR
06879,physics,comp-ph
02492,astro-ph,SR
01442,cs,CV
01283,math,AG
02181,astro-ph,HE
03603,cs,CL
02192,nucl-th,
04311,physics,acc-ph
08350,cs,LO
07816,math,NT
05343,math,AP
08548,cond-mat,str-el
06897,math,OC
03897,quant-ph,
04430,cond-mat,mes-hall
07444,math,AG
07780,math,OC
00193,math,AG
09049,stat,ML
01302,math,MG
04122,math,NA
05092,physics,optics
08238,physics,ao-ph
08650,cs,AI
03113,cond-mat,mes-hall
09738,astro-ph,EP
08972,math,CO
02217,hep-th,
07927,quant-ph,
04238,hep-lat,
03528,cs,CR
08742,astro-ph,EP
02781,cs,IT
01596,cs,CV
08004,astro-ph,GA
08326,math,FA
00415,cs,CV
04975,physics,comp-ph
00109,math,CA
06701,math,AG
01161,math,MG
05080,cond-mat,supr-con
03545,cond-mat,mtrl-sci
08110,cs,CV
03856,math,RA
03945,astro-ph,EP
05581,cond-mat,mes-hall
05224,cs,IT
00472,cs,AR
03976,gr-qc,
05649,physics,soc-ph
06150,cond-mat,soft
01561,math,RT
02551,cond-mat,mes-hall
03371,physics,soc-ph
05962,cond-mat,quant-gas
10079,astro-ph,EP
02372,physics,soc-ph
10577,physics,flu-dyn
00638,math,NT
06612,math,AP
06429,math-ph,
09004,q-fin,RM
07436,cond-mat,mtrl-sci
06199,math,PR
00299,quant-ph,
03066,cs,IT
02949,stat,ML
07980,math,CA
02141,astro-ph,SR
04878,astro-ph,CO
07515,astro-ph,SR
07537,cs,CL
04528,cs,SI
07191,math,FA
06560,cond-mat,mes-hall
04028,astro-ph,HE
01951,physics,acc-ph
04490,stat,ME
07342,math,PR
06229,stat,ME
00017,physics,plasm-ph
04290,cs,RO
07252,physics,app-ph
01432,cs,RO
04649,physics,chem-ph
06896,q-fin,ST
08305,cond-mat,mtrl-sci
03862,eess,SP
03200,cs,CC
05958,cs,CR
03663,math,OC
08747,cs,CV
07297,physics,app-ph
08676,cs,CV
01027,math,NT
00535,cs,SY
10211,hep-ph,
07114,math,OC
02210,cond-mat,mes-hall
10033,eess,SP
09037,stat,ME
03461,astro-ph,GA
04896,math,AP
07310,math,ST
01631,hep-th,
09923,cs,IT
07241,quant-ph,
02116,astro-ph,GA
01216,math,OA
02594,cs,IT
06179,astro-ph,HE
06407,cs,CL
01086,cs,CY
09550,physics,hist-ph
10187,cond-mat,soft
06861,cs,SI
07451,cs,CV
04187,cs,CV
03930,math,NA
01880,astro-ph,HE
00063,gr-qc,
09055,stat,ML
10101,hep-ph,
00963,cs,IT
06055,cs,CY
03971,physics,acc-ph
06799,quant-ph,
09284,stat,OT
03123,math,NA
10197,hep-ph,
05220,quant-ph,
08060,math,AP
03426,gr-qc,
02754,cond-mat,mes-hall
09648,math,AP
03982,math,OA
09916,math,OC
01666,quant-ph,
09338,stat,ME
06576,math,DG
02120,cs,NI
