document_id,email_domain
document_id,email_address
04878,roe.ac.uk
03009,gmail.com
03009,us.ibm.com
03009,gmail.com
00973,smu.ed.sg
00031,gmail.com
00031,gmail.com
10590,imsc.res.in
10590,imsc.res.in
10590,imsc.res.in
07952,impan.pl
08981,microsoft.com
08446,email.com
03303,cern.ch
03303,iacs.res.in
03303,gmail.com
03303,cern.ch
01691,nfri.re.kr
01691,nfri.re.kr
09172,163.com
09172,126.com
09172,126.com
04457,mpi-inf.mpg.de
04457,mpi-inf.mpg.de
09980,gmail.com
09980,gmail.com
09980,gmail.com
06331,cmat.edu.uy
06331,fing.edu.uy
06331,cmat.edu.uy
06331,fing.edu.uy
09764,yahoo.com
04055,cs.cranberry-lemon.edu
10327,gmail.com
03145,iit.it
00752,fnal.gov
00752,gmail.com
00752,gmail.com
06872,hotmail.com
03749,inria.fr
03749,bianp.net
01791,mailaps.org
05138,pucv.cl
08385,iitrpr.ac.in
09005,i1.org
06696,163.com
06696,163.com
07588,list.ru
07588,bezeqint.net
06726,huawei.com
06726,ics.forth.gr
05383,gmail.com
01513,gmail.com
01513,gmail.com
01513,gmail.com
07518,gmail.com
04879,mail.ru
09507,protonmail.com
01106,gmail.com
10103,ornl.gov
09612,nist.gov
00383,thesimpsons.com
06758,163.com
06758,163.com
03742,math.univ-paris-diderot.fr
08426,126.com
08426,163.com
02963,ipm.ir
02963,ipm.ir
04136,mail.ru
04136,mail.ru
04545,gmail.com
04545,outlook.com
04545,gmail.com
04545,outlook.com
04470,gmail.com
04470,gmail.com
04470,gmail.com
04470,gmail.com
03700,ifmpan.poznan.pl
03813,tcs.tifr.res.in
03210,pcs.ibs.re.kr
03210,email.address
00542,uqconnect.edu.au
03331,csir.co.za
06407,gmail.com
04056,gmail.com
04056,yahoo.co.in
04056,yahoo.com
06719,ieee.org
09564,126.com
02584,gmail.com
02584,theor.jinr.ru
05431,fer.hr
04042,ngc.com
02425,yahoo.com
08927,ftf.lth.se
05647,iiserkol.ac.in
05647,gmail.com
09570,yahoo.fr
09570,gmail.com
00232,163.com
06125,gmail.com
02343,126.com
02343,163.com
02343,hotmail.com
00075,gmail.com
00075,gmail.com
09574,gmail.com
05404,hotmail.com
00403,barc.gov.in
05156,google.com
01945,koc.edu.tr
03257,adaptcentre.ie
03257,tencent.com
03257,tencent.com
03257,tencent.com
03257,adaptcentre.ie
03257,adaptcentre.ie
02167,126.com
01604,iCloud.com
08628,gmail.com
